Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
02/07/2017,Live Trapping,TL1,15,SU 98128 50352,Human site,Suburban,"Near road, residential, near railway"
02/07/2017,Live Trapping,TL1,16,SU 98137 50357,Human site,Suburban,"Near road, residential, near railway"
02/07/2017,Live Trapping,TL1,17,SU 98147 50362,Human site,Suburban,"Near road, residential, near railway"
02/07/2017,Live Trapping,TL2,1,SU 98950 50237,Human site,Suburban,"Near road, near railway, residential"
02/07/2017,Live Trapping,TL2,2,SU 98944 50249,Human site,Suburban,"Near road, near railway, residential"
02/07/2017,Live Trapping,TL2,3,SU 98940 50258,Human site,Suburban,"Near road, near railway, residential"
02/07/2017,Live Trapping,TL2,4,SU 98935 50268,Human site,Suburban,"Near road, near railway, residential"
02/07/2017,Live Trapping,TL2,5,SU 98931 50277,Human site,Suburban,"Near road, near railway, residential"
02/07/2017,Live Trapping,TL2,6,SU 98926 50288,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,7,SU 98922 50296,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,8,SU 98919 50303,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,9,SU 98916 50310,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,10,SU 98910 50323,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,11,SU 98906 50332,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,12,SU 98901 50342,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,13,SU 98896 50353,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,14,SU 98893 50360,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,15,SU 98889 50368,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,16,SU 98885 50377,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL2,17,SU 98882 50383,Waterbody,Lake,"Near railway, hedgerow with trees"
02/07/2017,Live Trapping,TL3,1,SU 98361 50113,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,2,SU 98370 50113,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,3,SU 98379 50112,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,4,SU 98389 50111,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,5,SU 98399 50112,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,6,SU 98409 50111,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,7,SU 98419 50110,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,8,SU 98429 50109,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,9,SU 98439 50109,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,10,SU 98450 50108,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,11,SU 98461 50108,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,12,SU 98470 50108,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,13,SU 98481 50107,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,14,SU 98491 50107,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,15,SU 98502 50106,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,16,SU 98512 50106,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
02/07/2017,Live Trapping,TL3,17,SU 98522 50106,Human site,Suburban,"Residential, hedgerow with trees, recreational ground"
